nn,epoch,step,loss
Net,1,100,0.3147
Net,1,200,0.2278
Net,1,300,0.2316
Net,1,400,0.188
Net,1,500,0.1595
Net,1,600,0.1833
Net,2,100,0.1728
Net,2,200,0.1408
Net,2,300,0.1438
Net,2,400,0.0953
Net,2,500,0.0553
Net,2,600,0.0482
Net,3,100,0.0316
Net,3,200,0.0515
Net,3,300,0.1282
Net,3,400,0.0378
Net,3,500,0.0906
Net,3,600,0.0795
Net,4,100,0.0476
Net,4,200,0.1459
Net,4,300,0.0932
Net,4,400,0.0603
Net,4,500,0.0873
Net,4,600,0.0429
Net,5,100,0.0171
Net,5,200,0.0164
Net,5,300,0.0172
Net,5,400,0.0261
Net,5,500,0.0369
Net,5,600,0.0168
Net,6,100,0.0088
Net,6,200,0.0051
Net,6,300,0.0122
Net,6,400,0.0129
Net,6,500,0.0176
Net,6,600,0.0051
Net,7,100,0.0216
Net,7,200,0.0238
Net,7,300,0.0381
Net,7,400,0.0111
Net,7,500,0.026
Net,7,600,0.0192
Net,8,100,0.007
Net,8,200,0.0102
Net,8,300,0.0082
Net,8,400,0.0081
Net,8,500,0.0058
Net,8,600,0.0152
Net,9,100,0.009
Net,9,200,0.004
Net,9,300,0.0188
Net,9,400,0.0105
Net,9,500,0.0126
Net,9,600,0.0026
Net,10,100,0.0085
Net,10,200,0.0437
Net,10,300,0.0025
Net,10,400,0.0212
Net,10,500,0.0244
Net,10,600,0.0039
Net,11,100,0.015
Net,11,200,0.0096
Net,11,300,0.0018
Net,11,400,0.0039
Net,11,500,0.0029
Net,11,600,0.0023
Net,12,100,0.0045
Net,12,200,0.0052
Net,12,300,0.0005
Net,12,400,0.0014
Net,12,500,0.0105
Net,12,600,0.0027
Net,13,100,0.0013
Net,13,200,0.0029
Net,13,300,0.0021
Net,13,400,0.0032
Net,13,500,0.0068
Net,13,600,0.0082
Net,14,100,0.0024
Net,14,200,0.0041
Net,14,300,0.0065
Net,14,400,0.0026
Net,14,500,0.004
Net,14,600,0.0022
Net,15,100,0.0012
Net,15,200,0.0006
Net,15,300,0.0042
Net,15,400,0.0021
Net,15,500,0.0022
Net,15,600,0.0205
Net,16,100,0.0039
Net,16,200,0.009
Net,16,300,0.0022
Net,16,400,0.0027
Net,16,500,0.0279
Net,16,600,0.0064
Net,17,100,0.0026
Net,17,200,0.0007
Net,17,300,0.0023
Net,17,400,0.0005
Net,17,500,0.0044
Net,17,600,0.0135
Net,18,100,0.0015
Net,18,200,0.0031
Net,18,300,0.01
Net,18,400,0.0013
Net,18,500,0.0065
Net,18,600,0.0006
Net,19,100,0.0086
Net,19,200,0.0007
Net,19,300,0.0011
Net,19,400,0.0011
Net,19,500,0.0039
Net,19,600,0.0016
Net,20,100,0.0294
Net,20,200,0.001
Net,20,300,0.0006
Net,20,400,0.0025
Net,20,500,0.0001
Net,20,600,0.0009
Net1,1,100,1.6283
Net1,1,200,1.0913
Net1,1,300,0.9589
Net1,1,400,0.9029
Net1,1,500,0.8033
